id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated
se1|Classical Proms Evening|Elegant classical music concert|https://source.unsplash.com/random/?classical|1 Austin Terrace, Toronto, ON M5R 1X8|Classical Music Concert|All levels|2025-06-02|2025-06-02|Not required|2-3 hours|Elegant classical music concert|$30-70+ CAD|https://casaloma.ca/events/symphony-in-the-gardens|In-town (Casa Loma area, accessible by public transit)|N/A|No|Classical,Music,Concert|2025-05-29T00:00:00Z
se2|Comedy Show Night|Improv/sketch comedy performance|https://source.unsplash.com/random/?comedy|1 York St, Toronto, ON M5J 2P1|Comedy Performance|All levels|2025-06-03|2025-06-03|Not required|1.5-2 hours|Improv/sketch comedy performance|$25-40+ CAD|https://www.yukyuks.com/toronto|In-town (Downtown Toronto, accessible by public transit)|N/A|No|Comedy,Performance|2025-05-29T00:00:00Z
se3|Rivoli Live Music|Intimate indie music performance|https://source.unsplash.com/random/?livemusic|334 Queen St W, Toronto, ON M5V 2A2|Live Music|All levels|2025-06-05|2025-06-05|Not required|2-3 hours|Intimate indie music performance|$15-30+ CAD|https://www.therivoli.ca|In-town (Queen West, accessible by streetcar)|N/A|No|Music,Live,Indie|2025-05-29T00:00:00Z
se4|Crews & Tangos Drag Show|Drag queen show & dancing|https://source.unsplash.com/random/?dragshow|508 Church St, Toronto, ON M4Y 2C3|Drag Performance|All levels|2025-06-06|2025-06-06|Not required|Late evening|Drag queen show & dancing|$10-20+ cover charge|https://www.crewsandtangos.com|In-town (Church-Wellesley Village, accessible by subway)|https://goo.gl/maps/CT|Yes|LGBTQ,Drag,Performance|2025-05-29T00:00:00Z
se5|Jazz Festival Opening|Free outdoor jazz performances|https://source.unsplash.com/random/?jazz|Nathan Phillips Square, Toronto, ON|Music Festival|All levels|2025-06-07|2025-06-07|Not required|Varies by performance|Free outdoor jazz performances|Free|https://torontojazz.com|In-town (Downtown Toronto, accessible by subway)|N/A|No|Jazz,Music,Festival|2025-05-29T00:00:00Z
se6|Luminato Festival|Arts and creativity festival|https://source.unsplash.com/random/?artsfestival|Various venues across Toronto|Arts Festival|All levels|2025-06-06|2025-06-22|Varies by event|Multi-day festival|Arts and creativity festival with various performances and installations|Varies by event|https://luminatofestival.com|In-town (Varies by venue)|N/A|No|Arts,Festival,Culture|2025-05-29T00:00:00Z
se7|NXNE Festival|Music and gaming festival|https://source.unsplash.com/random/?musicfestival|Various venues in Toronto|Music and Gaming Festival|All levels|2025-06-13|2025-06-15|Varies by event|Multi-day festival|Music and gaming festival|Varies by event|https://www.nxne.com|In-town (Varies by venue)|N/A|No|Music,Gaming,Festival|2025-05-29T00:00:00Z
se8|Aga Khan Museum Visit|Islamic art & architecture exhibition|https://source.unsplash.com/random/?museum|77 Wynford Dr, North York, ON M3C 1K1|Museum Exhibition|All levels|2025-06-15|2025-06-15|Not required|2-3 hours|Islamic art & architecture|$20 CAD|https://www.agakhanmuseum.org|In-town (North York, accessible by public transit)|N/A|No|Museum,Art,Culture|2025-05-29T00:00:00Z
se9|ROM Evening Exploration|Leisurely museum visit|https://source.unsplash.com/random/?museum|100 Queen's Park, Toronto, ON M5S 2C6|Museum Visit|All levels|2025-06-17|2025-06-17|Not required|2-3 hours|Leisurely museum visit|$25-30 CAD|https://www.rom.on.ca|In-town (Bloor-Yorkville, accessible by subway)|N/A|No|Museum,History,Culture|2025-05-29T00:00:00Z
se10|Pride Toronto|Toronto's largest LGBTQ+ celebration|https://source.unsplash.com/random/?pride|Church-Wellesley Village & Downtown|Cultural Festival|All levels|2025-06-20|2025-06-29|N/A|10 days|Pride Parade, Street festivals, Live performances, Art installations, Community events, Family programming|Free-$200|www.pridetoronto.com|Downtown location|https://goo.gl/maps/PT|Yes|LGBTQ,Pride,Festival|2025-05-29T00:00:00Z
se11|TIFF 2025|International film festival|https://source.unsplash.com/random/?filmfestival|TIFF Bell Lightbox & various venues|Film Festival|All levels|2025-09-04|2025-09-14|Various deadlines|11 days|Film premieres, Celebrity appearances, Industry conferences, Public screenings, Special events|$25-500|www.tiff.net|Downtown location|https://goo.gl/maps/TIFF|Yes|Film,Festival,Culture|2025-05-29T00:00:00Z
se12|Taste of Toronto|Food & drink festival|https://source.unsplash.com/random/?foodfestival|Various Toronto venues|Culinary Event|All levels|2025-07-03|2025-07-06|Until sold out|4 days|Restaurant tastings, Chef demonstrations, Cooking classes, Wine/beer sampling|Varies|www.tasteoftoronto.com|Downtown location|N/A|No|Food,Drink,Festival|2025-05-29T00:00:00Z 
sp733305_mirvishpro|Mirvish Productions - Various Shows|Major commercial theatre producer in Toronto presenting Broadway hits, musicals, and plays.| |Various Mirvish Theatres (Royal Alexandra, Princess of Wales, Ed Mirvish, CAA Theatre)|Theatre|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show (typically 2-3 hrs)|Musicals, plays, dramas, comedies.|Varies per show ($50-$200+)|https://www.mirvish.com/|Varies by theatre (all downtown)| | |theatre,musical,broadway,play,toronto|2025-05-30T21:32:13.305Z
sp733305_soulpepper|Soulpepper Theatre Company|Multi-award-winning Toronto theatre company presenting classics, new works, and artist training.| |Young Centre for the Performing Arts, Distillery District|Theatre|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show (typically 2-3 hrs)|Plays, musicals, concerts, workshops.|Varies per show ($30-$100+)|https://www.soulpepper.ca/|Approx 15-25 mins|https://goo.gl/maps/YoungCentreDistillery| |theatre,canadian,play,musical,distillery district,toronto|2025-05-30T21:32:13.305Z
sp733305_canadianop|Canadian Opera Company (COC)|Largest opera company in Canada, performing at the Four Seasons Centre for the Performing Arts.| |Four Seasons Centre for the Performing Arts, 145 Queen St W|Opera/Music|All levels|Seasonal (typically Sept-May)| |Book tickets in advance|Varies per opera (typically 2.5-4 hrs)|Grand opera productions with international and Canadian artists.|Varies per show/seat ($45-$350+)|https://www.coc.ca/|Approx 5-10 mins|https://goo.gl/maps/FourSeasonsCentre| |opera,classical music,performing arts,toronto|2025-05-30T21:32:13.305Z
sp733305_nationalba|National Ballet of Canada|Canada's premier ballet company, performing classics and contemporary works.| |Four Seasons Centre for the Performing Arts, 145 Queen St W|Dance/Ballet|All levels|Seasonal (typically Nov-Mar, plus June performances)| |Book tickets in advance|Varies per ballet (typically 2-3 hrs)|Classical and contemporary ballet productions.|Varies per show/seat ($40-$250+)|https://national.ballet.ca/|Approx 5-10 mins|https://goo.gl/maps/FourSeasonsCentre| |ballet,dance,performing arts,toronto|2025-05-30T21:32:13.305Z
sp733305_torontosym|Toronto Symphony Orchestra (TSO)|Major symphony orchestra presenting classical masterworks, contemporary pieces, and pops concerts.| |Roy Thomson Hall, 60 Simcoe St|Music/Orchestra|All levels|Seasonal (typically Sept-June)| |Book tickets in advance|Varies per concert (typically 2-2.5 hrs)|Symphonic concerts, guest artists, film music nights.|Varies per concert/seat ($35-$180+)|https://www.tso.ca/|Approx 5-10 mins|https://goo.gl/maps/RoyThomsonHall| |orchestra,classical music,symphony,live music,toronto|2025-05-30T21:32:13.305Z
sp733305_buddiesinb|Buddies in Bad Times Theatre|Leading presenter of queer theatre in Canada, dedicated to the development and presentation of LGBTQ2S artists and their work.| |12 Alexander St, Toronto|Theatre/LGBTQ+|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show|Plays, performance art, festivals, youth programs, cabarets with a queer focus.|Varies ($20-$50+, some PWYC)|https://buddiesinbadtimes.com/|Approx 10-15 mins|https://goo.gl/maps/BuddiesInBadTimes|Yes|lgbtq theatre,queer art,play,performance,toronto|2025-05-30T21:32:13.305Z
sp733305_thegarriso|The Garrison, The Horseshoe Tavern, Lee's Palace, History, Massey Hall, Budweiser Stage (various music venues)|Various iconic and newer live music venues hosting a wide range of genres and artists.| |Various locations across Toronto|Concert/Live Music|All levels|Year-round| |Book tickets in advance (Ticketmaster, venue sites)|Varies per show|Concerts (rock, indie, pop, electronic, etc.), touring and local bands.|Varies widely ($20-$200+)|(Check venue websites: historytoronto.com, masseyhall.com, livenation.com/venues/14878/budweiser-stage-toronto, horseshoetavern.com, leespalace.com, garrisontoronto.com)|Varies (many downtown or accessible by TTC)| | |live music,concert,rock,indie,pop,toronto,venue|2025-05-30T21:32:13.305Z
sp733305_cherrybomb|Cherry Bomb|Recurring dance party for queer women and friends. Features guest DJs and a vibrant atmosphere.| |Typically at The Garrison or other venues, check listings|Gay Party/Social|All levels|Monthly or bi-monthly (check schedule)| |Tickets at door or advance for special events|~4-5 hours (e.g., 10 PM - 3 AM)|DJ sets (various genres), dancing, social event for queer women and trans/non-binary folks.|~$15-25|" (Search ""Cherry Bomb Toronto"" on Facebook or Instagram for current events)"|Varies by venue| |Yes|lgbtq party,queer women,lesbian,dance,social,toronto|2025-05-30T21:32:13.305Z
