id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated
se1|Toronto Maple Leafs vs Montreal Canadiens|Historic rivalry between two Original Six teams|https://source.unsplash.com/random/?hockey|Scotiabank Arena, 40 Bay St, Toronto, ON M5J 2X2|Hockey|All levels|2025-06-15|2025-06-15|Until sold out|~3 hours|NHL regular season game featuring historic rivals|$85-500|www.mapleleafs.com|Downtown location|https://goo.gl/maps/SBA|No (General event)|NHL,Hockey,Professional|2025-05-29T00:00:00Z
se2|Toronto Blue Jays Summer Series|Extended summer baseball series|https://source.unsplash.com/random/?baseball|Rogers Centre, 1 Blue Jays Way, Toronto, ON M5V 1J1|Baseball|All levels|2025-06-03|2025-09-30|Until sold out|~3 hours per game|Multiple series against Philadelphia, Arizona, Chicago White Sox, and New York Yankees. Fan giveaways and theme nights included.|$20-200|www.bluejays.com|Downtown location|https://goo.gl/maps/RC|No (General event)|MLB,Baseball,Professional,Series|2025-05-29T00:00:00Z
se3|Toronto FC Summer Series|MLS Soccer matches|https://source.unsplash.com/random/?soccer|BMO Field, 170 Princes' Blvd, Toronto, ON M6K 3C3|Soccer|All levels|2025-06-25|2025-09-27|Until sold out|2 hours per match|Multiple matches featuring supporter section experience and pre-match festivities|$40-120|www.torontofc.ca|In-town (Exhibition Place)|https://goo.gl/maps/BMO|No (General event)|MLS,Soccer,Professional,Series|2025-05-29T00:00:00Z
se4|Toronto Raptors Basketball|NBA regular season action|https://source.unsplash.com/random/?basketball,nba|Scotiabank Arena, 40 Bay St, Toronto, ON M5J 2X2|Basketball|All levels|2025-06-25|2025-06-25|Until sold out|~2.5 hours|NBA regular season game with entertainment and fan activities|$75-400|www.raptors.com|Downtown location|https://goo.gl/maps/SBA|No (General event)|NBA,Basketball,Professional|2025-05-29T00:00:00Z
se5|Toronto Argonauts CFL Season|Canadian Football League season|https://source.unsplash.com/random/?football|BMO Field, 170 Princes' Blvd, Toronto, ON M6K 3C3|Football|All levels|2025-06-14|2025-09-19|Until sold out|~3 hours per game|Full season of CFL action featuring matches against major rivals|$35-150|www.argonauts.ca|In-town (Exhibition Place)|https://goo.gl/maps/BMO|No (General event)|CFL,Football,Professional|2025-05-29T00:00:00Z
se6|National Bank Open Tennis|ATP Tour Masters 1000 tennis championship|https://source.unsplash.com/random/?tennis|Sobeys Stadium, 1 Shoreham Dr, North York, ON M3N 1P6|Tennis|All levels|2025-07-26|2025-08-07|Until sold out|Multiple sessions daily|World-class tennis tournament with practice court access and player autograph sessions|$30-300|www.nationalbankopen.com|~30-45 minutes (North York)|https://goo.gl/maps/SS|No (General event)|ATP,Tennis,Professional,Tournament|2025-05-29T00:00:00Z
se7|Honda Indy Toronto|IndyCar Race Weekend|https://source.unsplash.com/random/?racing,indycar|Exhibition Place, 100 Princes' Blvd, Toronto, ON M6K 3C3|Motorsports|All levels|2025-07-18|2025-07-20|Until sold out|3-day festival|World-class motorsports festival with pit lane walks and driver sessions|$65-200|www.hondaindy.com|In-town (Exhibition Place)|https://goo.gl/maps/EP|No (General event)|IndyCar,Racing,Professional,Festival|2025-05-29T00:00:00Z
se8|Under Armour Toronto 10K|Waterfront running race|https://source.unsplash.com/random/?running,race|Bandshell Park, 100 Prince Edward Island Crescent, Toronto, ON M6K 3C3|Running|All levels|2025-06-14|2025-06-14|2025-06-01|Morning event|Scenic waterfront race suitable for all abilities|$50-75|www.canadarunningseries.com|In-town (Exhibition Place)|https://goo.gl/maps/BP|Yes|Running,Race,Community|2025-05-29T00:00:00Z
se9|Toronto Island Run 2025|Multi-distance running event|https://source.unsplash.com/random/?running,island|Toronto Islands (Ferry from 9 Queens Quay W)|Running|All levels|2025-09-07|2025-09-07|2025-08-24|Half-day|10K, 5K, 1 Mile, and 1K options with complimentary picnic|$40-60|www.torontoislandrun.com|~15-20 minutes ferry ride|https://goo.gl/maps/JL|Yes|Running,Race,Community,Island|2025-05-29T00:00:00Z
se10|Terry Fox Run Toronto|Annual charity run/walk|https://source.unsplash.com/random/?charity,run|Various locations across Toronto|Running|All levels|2025-09-14|2025-09-14|Day of event|Morning/early afternoon|Non-competitive charity event supporting cancer research|Free (donations encouraged)|www.terryfox.org|Varies by location|Various locations|Yes|Running,Charity,Community|2025-05-29T00:00:00Z
