title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress|lastUpdated
STRAPS ARM WRESTLING|A trans-focused arm wrestling group that welcomes everyone, including allies, provided they behave respectfully. Events are structured as mini-tournaments. [3]|N/A|Houndstooth, 818 College St, Toronto, ON M6G 1C8 [4]|Individual sport, mini-tournament, drop-in|Not specified, but participants compete, implying various levels. Participants learn fundamentals with instructors. [3]|Year-round, takes place every two months depending on organizers' schedules. Next known event: May 15, 2025. [3, 4]|Year-round|People can sign up on organizer socials whenever the latest event is announced. [3]|3.5 hours (8:00 PM - 11:30 PM for May 15 event). [4]|Participants compete against one another.| $15.69 (student/senior), $19.08 (general admission) for a May 28 event. [5]|Not specified.|Approximately 15-20 minutes drive from downtown; accessible by TTC (College Streetcar).|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-specific (Trans-focused, everyone welcome). [3]|Arm Wrestling, Trans, Queer, Drop-in, Social, Competition, Inclusive|N/A|N/A|N/A|N/A|May 31, 2025
FIELD OF DREAMERS COOPERATIVE SOFTBALL ASSOCIATION|An inclusive, volunteer-run, not-for-profit recreational softball league for queer, trans, and non-binary people, as well as allies and supporters. The league emphasizes mutual aid, body liberation, and a radical re-imagining of sport. It actively prioritizes 50% of spots for BIPOC, trans, and non-binary players. [1, 3]|N/A|Not specified in the provided information, but games are played on Sundays. [6]|Team sport, league|Open to all skill levels; players are drafted onto teams based on self-described skill/experience. [3]|May 2025. [6]|October 2025, with playoffs in September. [3]|Registration usually occurs in February/March. [3]|Season runs May-October. Games on Sundays, with specific times at 8:00 PM or 9:30 PM. [6]|Players are drafted onto teams; play is non-competitive until the playoff tournament. The league includes social events. [1, 3]|Sliding scale fees. [7]|https://fieldofdreamers.org/ [7]|N/A (location not specific enough).|N/A|Queer-specific (Open to queer, trans, non-binary, allies, supporters; prioritizes BIPOC, trans, non-binary players). [1, 3]|Softball, League, Queer, Trans, Non-binary, BIPOC, Recreational, Community, Inclusive, Team Sport|N/A|N/A|N/A|hello@fieldofdreamers.org [8]|May 31, 2025
LEARNSOFTBALLTO|A queer-inclusive and queer-friendly league that welcomes adult women, trans, and non-binary players. Players are rotated to different teams each season to foster social connections. [3]|N/A|Not specified.|League|Not specified.|May. [3]|September. [3]|Registration begins in February. Early sign-up is encouraged as spots sell out. [3]|Season runs May-September.|Players are rotated to different teams each season to promote interaction.|Not specified.|N/A|N/A.|N/A|Queer-inclusive (Welcomes adult women, trans, and non-binary players; queer-friendly). [3]|Softball, Women, Trans, Non-binary, League, Social, Inclusive|N/A|N/A|N/A|N/A|May 31, 2025
NOTSOAMAZON SOFTBALL LEAGUE|A league for queer-positive women, trans*, and gender-neutral individuals of all skill levels. The season is non-competitive until a playoff tournament in September. [3]|N/A|Coronation Park, 711 Lake Shore Blvd W, Toronto, ON, M5V 3T7, and Riverdale Park West, 375 Sumach Street, Toronto, ON, M4X 1B8. [9]|League|All skill levels. [3]|April. [3]|September (plays on Sundays, excluding long weekends and Pride). [3]|Registration opens in February. [3]|Season runs April-September.|Players sign up and are divided into teams for non-competitive play, followed by a playoff tournament. [3]|$99.00 initiation fee. [10]|http://www.notsoamazon.com/ [10]|Coronation Park: Approximately 10-15 minutes drive from downtown, accessible by TTC streetcar. Riverdale Park West: Approximately 10-15 minutes drive from downtown, accessible by TTC streetcar/bus.|Coronation Park: https://maps.app.goo.gl/r69421xV1z7n5Y3J7; Riverdale Park West: https://maps.app.goo.gl/b2S6o9gQ3s2X5Y8Q7|Queer-specific (Queer-positive women, trans*, and gender-neutral individuals). [3]|Softball, Women, Trans, Gender-neutral, League, Recreational, Inclusive, Team Sport|N/A|N/A|N/A|info@notsoamazon.com [10]|May 31, 2025
QUEER SOFTBALL BABIES|A drop-in group that welcomes queer people, with trans and non-binary people and women prioritized. [3]|N/A|Not specified in the provided Toronto information; location may vary. A similar league mentions Parc Sir-Wilfrid-Laurier. [11]|Pick-up sports, drop-in|All skill and fitness levels are welcome. [11]|Meets at regular intervals during the warmer months of the year. Practices begin May 17, with official season games starting May 24. [3, 11]|Ongoing during warmer months.|No registration required; this is a drop-in activity. [3]|Games last 1.5 hours. Practices are on Mondays from 6:00 PM – 8:00 PM. [11]|Drop-in, casual play. Practices are free and open to all. [11]|Free for drop-in practices. Official league play has a standard rate of $100, or a reduced rate of $70 for BIPOC/ALAANA individuals. [11]|Not specified for Toronto. A similar league mentions https://www.bmqs.ca/.|N/A (location varies).|N/A|Queer-specific (Welcomes queer people, with trans, non-binary, and women prioritized). [3]|Softball, Queer, Trans, Non-binary, Women, Drop-in, Pick-up, Recreational, Inclusive|N/A|N/A|Facebook, Discord. [11]|info@bmqs.ca (for a similar league). [11]|May 31, 2025
TORONTO DOWNTOWN FASTPITCH LEAGUE|Open to anyone 16 or older who identifies as non-binary, transgender (men and women), or a woman. While not exclusively a queer league, it is queer-inclusive and queer-friendly. Participants should have prior fastpitch experience. [3]|N/A|Trinity Bellwoods Park, Toronto.|League|Requires experience with fastpitch. [3]|May. [3]|September. [3]|To play, individuals must contact the league to try out, and registration typically happens early each year. [3]|Plays on Tuesdays from May to September. [3]|Tryouts are required for registration.|Not specified.|https://torontodowntownfastpitch.ca/ [12]|Approximately 10-15 minutes drive from downtown; accessible by TTC streetcar.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-inclusive (Open to non-binary, trans (men/women), and women; queer-friendly). [3]|Fastpitch, Softball, Non-binary, Trans, Women, Experienced, League, Inclusive, Team Sport|N/A|N/A|N/A|tdfl.fastpitch@gmail.com [12]|May 31, 2025
RAINBOW HOOPS TO|A basketball league exclusively for queer women, trans, and non-binary individuals. Players attend a draft/skills clinic and are placed on balanced teams. [3]|N/A|Not specified.|League|Not specified, but implies various levels due to the draft/skills clinic process. [3]|October. [3]|May (each year). [3]|Registration/sign-up takes place in September/October for the following year, continuing until spots are filled. [3]|Season runs October-May.|Participants attend a draft/skills clinic and are placed on teams in a balanced and equal manner. [3]|Not specified.|https://www.rainbowhoops.ca/ [13]|N/A.|N/A|Queer-specific (Open only to queer women, trans, and non-binary individuals). [3]|Basketball, Queer Women, Trans, Non-binary, League, Inclusive, Team Sport|N/A|N/A|N/A|rhbasketball@gmail.com [13]|May 31, 2025
SQWISH|A drop-in group focused on trans and queer people. [3]|N/A|Central Technical School, Toronto.|Drop-in|Not specified.|September. [3]|June. [3]|No registration required; this is a drop-in activity. [3]|Plays on Fridays between September and June. [3]|Drop-in sessions.|Not specified.|N/A|Approximately 15-20 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/Y1z7n5Y3J7r69421xV|Queer-specific (Centered around trans and queer people). [3]|Sports, Trans, Queer, Drop-in, Inclusive|N/A|N/A|N/A|info@squishcandies.com (for a related business). [14]|May 31, 2025
TORONTO GAY BASKETBALL ASSOCIATION|A basketball league where everyone is welcome, including "queers of all kinds and allies." Players sign up and are drafted onto teams by volunteer captains. There is no summer season. [3]|N/A|Not specified in the provided information.|League|Not specified, but implies various levels due to the draft system. [3]|September (Fall season); January (Spring season). [3]|November (Fall season); April (Spring season). [3]|Sign-up for the fall season is in early September, and for the spring season in mid-January. [3]|Fall season runs September-November (indoors), and spring season runs January-April (indoors). [3]|Players sign up, and volunteer captains pick their teams.|Not specified.|https://ngba.org/locations/ (NGBA is a national organization, likely with local chapter information). [15]|N/A.|N/A|Queer-specific (Everyone welcome: queers of all kinds and allies). [3]|Basketball, Gay, Queer, Allies, League, Inclusive, Team Sport|N/A|N/A|N/A|lordsbasketball@gmail.com (for a related business). [16]|May 31, 2025
QUEER BOXING CLUB|A boxing club welcoming queer people and allies. Participants learn fundamentals from instructors. [3]|N/A|Rumble Boxing Yorkville, 1235 Bay Street 3101, Toronto, ON M5R 3K4. [17, 18]|Class/Instruction, drop-in|Open to all skill and fitness levels. [3]|Year-round, meets every second Saturday. Next known class: May 31, 2025. [3, 18]|Year-round|Registration opens two weeks before each class, with 34 spots available. [3]|50-minute classes. [17]|Participants learn fundamentals with instructors.|First class is free ($0.00). A single class costs $37.00, and a 10-class pack is $340.00. [18]|https://www.mindbodyonline.com/explore/locations/rumble-boxing-yorkville [17]|Approximately 10-15 minutes drive from downtown; accessible by TTC.|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|Queer-inclusive (Welcoming queer people and allies). [3]|Boxing, Queer, Allies, Fitness, Class, Drop-in, Inclusive|N/A|N/A|N/A|N/A|May 31, 2025
