title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress
Distillery District Outdoor Markets / Events|Historic district with cobblestone streets, artisan shops, galleries, restaurants. Often hosts seasonal outdoor markets, art shows, music.| |Distillery Historic District, 55 Mill St|Market/Cultural/Social|All levels|Year-round, specific summer markets/events TBD (check website closer to date)| |N/A for general access; some events may be ticketed|Varies (market hours typically daytime weekends)|Shopping for crafts, art; food vendors; live music; seasonal decorations and themes (e.g. summer music series).|Free entry; cost of purchases/event tickets|https://www.thedistillerydistrict.com/|Approx 15-25 mins|https://goo.gl/maps/DistilleryDistrict| |market,arts,crafts,historic district,food,live music,summer,toronto|@distilleryto| |https://www.facebook.com/thedistillerydistrict/|info@thedistillerydistrict.com
Kensington Market Pedestrian Sundays (if continued in 2025)|Eclectic neighbourhood closes streets to cars on select Sundays, creating a vibrant street festival atmosphere.| |Kensington Market, Toronto|Community Event/Street Festival|All levels|Typically last Sunday of May-Oct (confirm 2025 schedule)| |N/A|Afternoon (e.g., 12 PM - 7 PM)|Street performers, food vendors, artisan stalls, live music, car-free exploration of shops.|Free entry; cost of purchases| (Search "Pedestrian Sundays Kensington Market" or check kbia.ca for 2025 updates)|Kensington Market is central| | |street festival,community,market,kensington market,car free,summer,toronto|@kensingtonmarketbia (general BIA)| | |info@kbia.ca
St. Lawrence Market|Historic public market with food vendors, artisans, and antique market on Sundays.| |93-95 Front St E, Toronto|Market/Food/Shopping|All levels|Tues-Sat (Food Market), Sun (Antique Market). Check summer hours.| |N/A|Market hours (typically daytime)|Shopping for fresh produce, meats, cheeses, baked goods, prepared foods, crafts, antiques.|Free entry; cost of purchases|http://www.stlawrencemarket.com/|Approx 5-10 mins|https://goo.gl/maps/StLawrenceMarket| |market,food market,historic market,antique market,shopping,summer,toronto|@stlawrencemarket| |https://www.facebook.com/StLawrenceMarket/|stlawrencemarket@toronto.ca
Toronto Outdoor Art Fair (TOAF)|Canada's largest and longest-running juried contemporary outdoor art fair.| |Nathan Phillips Square, 100 Queen St W|Art Fair/Cultural|All levels|Typically mid-July (e.g., July 12-14, 2025 - check exact dates)| |N/A (free to attend)|3 days (daytime hours)|View and purchase art from hundreds of artists (painting, sculpture, photography, craft).|Free entry; art purchases vary|https://torontooutdoor.art/|Nathan Phillips Square is central| | |art fair,outdoor art,contemporary art,cultural event,summer,toronto|@torontooutdoorart| |https://www.facebook.com/TorontoOutdoorArtFair/|info@torontooutdoor.art
Luminato Festival Toronto (if dates align with summer)|International multi-arts festival with theatre, dance, music, visual arts, and more, often with large-scale public art installations.| |Various venues across Toronto|Arts Festival/Cultural|All levels|Typically June (check 2025 dates for summer alignment)| |Some events free, many ticketed. Book in advance.|~1-2 weeks|Performances, exhibitions, talks, public art installations.|Free to $100+ (varies by event)|https://luminatofestival.com/|Varies by venue| | |arts festival,multi arts,cultural event,public art,summer,toronto|@luminatofestival| |https://www.facebook.com/luminatofestival/|info@luminatofestival.com
Toronto International Dragon Boat Race Festival|Large dragon boat festival with teams competing on Toronto's Centre Island.| |Centre Island, Toronto Islands|Sports Event/Cultural/Community|All levels (spectators); participants are teams|Typically late June (check 2025 dates)| |For team registration, check website. Free for spectators (ferry cost applies).|2-3 days (weekend)|Dragon boat races, cultural performances, food vendors, family activities.|Free for spectators (plus ferry to island); team fees apply|https://dragonboats.com/ (or search Toronto International Dragon Boat Race Festival for official 2025 site)|Ferry from downtown (approx 15 min ride)|https://goo.gl/maps/CentreIslandToronto| |dragon boat,festival,sports,cultural,community,toronto islands,summer,toronto|@gwndragonboat (organizer, may have event specific)| | |info@gwnevents.com (general GWN)
Taste of Little Italy (if scheduled for Summer 2025)|Street festival on College Street celebrating Italian culture, food, and music.| |College Street (between Bathurst and Shaw), Little Italy|Street Festival/Food/Cultural|All levels|Typically mid-June (check 2025 dates)| |N/A (free entry)|Weekend (Friday evening to Sunday evening)|Food vendors from local restaurants, live music, patios, family activities.|Free entry; cost of food/drinks|https://tolittleitaly.com/taste-of-little-italy (check for 2025 updates)|Little Italy, central-west| | |street festival,food festival,italian culture,little italy,summer,toronto|@tolittleitaly| |https://www.facebook.com/tolittleitaly/|info@tolittleitaly.com
Beaches International Jazz Festival|Large free jazz festival with performances in various locations in The Beaches neighbourhood.| |The Beaches (Queen St E, Woodbine Park, etc.)|Music Festival/Cultural|All levels|Typically July (month-long with main events on specific weekends - check 2025 dates)| |N/A (free events)|Month of July, various times|Live jazz, blues, big band, Afro-Cuban, and more. StreetFest on Queen St E, main stage at Woodbine Park.|Free (some ticketed workshops/events possible)|https://beachesjazz.com/|The Beaches, east end Toronto| | |jazz festival,music festival,free event,beaches,summer,toronto|@beachesjazz| |https://www.facebook.com/beachesjazz/|info@beachesjazz.com
Toronto Caribbean Carnival (formerly Caribana - Grand Parade Day & other events in summer)|Large festival celebrating Caribbean culture with music, dance, and a massive parade. (Grand Parade typically August long weekend; other events July/August)| |Exhibition Place & Lakeshore Blvd (Parade); other events at various venues|Cultural Festival/Parade|All levels|Grand Parade: August long weekend (early Aug). Other events: July-August. Check 2025 schedule.| |Some events free (e.g. parts of parade route), many ticketed (e.g. King & Queen show, parties, paid parade viewing areas)|Various, Grand Parade is full day|Calypso/soca music, elaborate costumes, dancing, food, parties. Grand Parade is the highlight.|Free to $100+ (varies by event/access)|https://www.torontocarnival.ca/ (check for official 2025 site)|Exhibition Place/Lakeshore West| | |caribbean carnival,caribana,parade,cultural festival,music,summer,toronto|@torontocarnival.ca (official handle may vary year to year)| | |info@torontocarnival.ca (general, may change)
Shakespeare in High Park (Canadian Stage)|Outdoor theatre performances of Shakespeare plays in High Park Amphitheatre.| |High Park Amphitheatre, High Park|Theatre/Cultural|All levels|Typically late June to early September (check 2025 schedule)| |Pay-What-You-Can (suggested donation), some premium reserved seats may be available|Evenings (e.g., 8 PM), ~2.5 hours|Live Shakespearean plays in an outdoor setting.|PWYC (e.g., $20-30 suggested) or premium seats|https://www.canadianstage.com/outdoors|High Park, west Toronto| | |shakespeare,outdoor theatre,high park,cultural event,summer,toronto|@canadianstage| |https://www.facebook.com/cdnstage/|boxoffice@canadianstage.com
