title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress
Toronto Gay Hockey Association (TGHA)|Recreational ice hockey league for the LGBTQ+ community and allies.| |Various arenas in Toronto (e.g., Mattamy Athletic Centre)|League|All levels|Typically September to April (check for summer activities/registration)| |Check website|Season-long|Ice hockey games and practices, social events.|Varies (see website)|https://tgha.ca/|Varies by arena| |Yes|hockey,lgbtq sports,league,toronto|@tgha_hockey| |https://www.facebook.com/TorontoGayHockey/|info@tgha.ca
Outslopes Toronto|LGBTQ+ ski and snowboard club. Organizes local skiing/snowboarding days and trips.| |Various ski resorts near Toronto (e.g., Blue Mountain, Mount St. Louis Moonstone)|Club|All levels|Typically December to March (check for off-season social events)| |Check website|Per event/season|Skiing and snowboarding meetups, lessons, social gatherings.|Varies (membership, lift tickets)|https://outslopes.org/chapters/toronto/|1.5-2.5 hrs| |Yes|skiing,snowboarding,lgbtq sports,club,winter sports|@outslopestoronto| |https://www.facebook.com/groups/outslopestoronto|toronto@outslopes.org
Pink Turf Soccer League|Toronto's outdoor LGBTQ+ recreational soccer league for women and trans individuals.| |Various fields in Toronto (e.g., Withrow Park, Cherry Beach Sports Fields)|League|All levels|Typically May to August| |Check website (usually Spring)|Season-long|Outdoor soccer games, practices, and social events.|Varies (see website)|http://pinkturf.com/|Varies by field| |Yes|soccer,lgbtq sports,league,women,trans,toronto|@pinkturfsoccer| |https://www.facebook.com/pinkturfsoccerTO/|info@pinkturf.com
Toronto Rainbow Reef Rangers|LGBTQ+ and allies scuba diving club.| |Local dive sites, pool training, and dive trips.|Club|All levels (training available)|Year-round activities| |Check website|Varies per event|Scuba diving training, local dives, international trips, social events.|Varies (membership, course fees, trip costs)|https://www.rainbowreefrangers.com/|Varies| |Yes|scuba diving,lgbtq sports,club,adventure,toronto| | |https://www.facebook.com/groups/rainbowreefrangers/|info@rainbowreefrangers.com
Downtown Swim Club Toronto (DST)|Masters swim club for the LGBTQ+ community and allies.| |University of Toronto Athletic Centre Pool & Ryerson University's Kerr Hall West Pool|Club|Various (lanes for different skill levels)|Year-round| |Check website|Ongoing|Structured swim practices, coaching, social events.|Varies (membership fees)|https://www.dstswim.ca/|Approx 10-20 mins|https://goo.gl/maps/exampleDSTPool|Yes|swimming,lgbtq sports,club,masters swimming,toronto|@dstswim| |https://www.facebook.com/groups/dstswim/|president@dstswim.ca
Muddy York RFC|Toronto's inclusive rugby club, welcoming players of all sexual orientations and gender identities.| |Practice at various fields (e.g., Eglinton Flats); games across Ontario.|Club/Team|All levels (development program available)|Typically May to September (indoor training in off-season)| |Check website|Season-long|Rugby practices, games, tournaments, and social events.|Varies (membership fees)|https://www.muddyyork.ca/|Varies by field| |Yes|rugby,lgbtq sports,club,team,toronto|@muddyyorkrfc| |https://www.facebook.com/MuddyYorkRFC/|info@muddyyork.ca
Toronto Gay Sailing Club|Informal group for sailing enthusiasts in the LGBTQ+ community.| |Lake Ontario, various marinas|Social Club|All levels (boat owners and crew)|Typically May to October| |N/A (informal)|Per sail/event|Casual sailing outings, social gatherings.|Shared costs/BYOB (Bring Your Own Boat)|(Primarily Facebook Group)|Varies by marina| |Yes|sailing,lgbtq sports,social,boating,toronto| | |https://www.facebook.com/groups/torontogaysailingclub/| (via Facebook group)
Frontrunners Toronto|LGBTQ+ running club offering runs for all levels.| |Various locations in Toronto (e.g., The 519, High Park)|Running Club|All levels|Year-round| |N/A (drop-in)|1-2 hours per run|Weekly group runs (various distances and paces), social events.|Free (optional club membership for perks)|https://www.frontrunnerstoronto.ca/|Varies by run start location| |Yes|running,lgbtq sports,club,fitness,toronto|@frontrunnersto| |https://www.facebook.com/FrontrunnersToronto/|info@frontrunnerstoronto.ca
Rainbow Hoops Crossover|LGBTQ+ recreational basketball league in Toronto.| |Various gyms in Toronto|League|Recreational/All levels|Seasonal (check website for current season)| |Check website|Season-long|Weekly basketball games, playoffs, social events.|Varies (see website)|https://www.rainbowhoops.com/ (or search for current iteration)|Varies by gym| |Yes|basketball,lgbtq sports,league,toronto| (Search on social media)| | | (Check website)
Toronto Triggerfish Water Polo|LGBTQ+ inclusive water polo club.| |University of Toronto Athletic Centre Pool & other pools|Club|All levels (learn-to-play programs available)|Year-round| |Check website|Ongoing|Water polo practices, games, and tournaments. Social events.|Varies (membership fees)|https://www.triggerfishwaterpolo.ca/|Approx 10-20 mins|https://goo.gl/maps/exampleTriggerfishPool|Yes|water polo,lgbtq sports,club,aquatics,toronto|@torontotriggerfish| |https://www.facebook.com/TorontoTriggerfish/|info@triggerfish.ca
