title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress
Mirvish Productions - Various Shows|Major commercial theatre producer in Toronto presenting Broadway hits, musicals, and plays.| |Various Mirvish Theatres (Royal Alexandra, Princess of Wales, Ed Mirvish, CAA Theatre)|Theatre|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show (typically 2-3 hrs)|Musicals, plays, dramas, comedies.|Varies per show ($50-$200+)|https://www.mirvish.com/|Varies by theatre (all downtown)| | |theatre,musical,broadway,play,toronto|@mirvishproductions| |https://www.facebook.com/Mirvish/|audienceservices@mirvish.com
Soulpepper Theatre Company|Multi-award-winning Toronto theatre company presenting classics, new works, and artist training.| |Young Centre for the Performing Arts, Distillery District|Theatre|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show (typically 2-3 hrs)|Plays, musicals, concerts, workshops.|Varies per show ($30-$100+)|https://www.soulpepper.ca/|Approx 15-25 mins|https://goo.gl/maps/YoungCentreDistillery| |theatre,canadian,play,musical,distillery district,toronto|@soulpeppertheatre| |https://www.facebook.com/SoulpepperTheatre/|boxoffice@soulpepper.ca
Canadian Opera Company (COC)|Largest opera company in Canada, performing at the Four Seasons Centre for the Performing Arts.| |Four Seasons Centre for the Performing Arts, 145 Queen St W|Opera/Music|All levels|Seasonal (typically Sept-May)| |Book tickets in advance|Varies per opera (typically 2.5-4 hrs)|Grand opera productions with international and Canadian artists.|Varies per show/seat ($45-$350+)|https://www.coc.ca/|Approx 5-10 mins|https://goo.gl/maps/FourSeasonsCentre| |opera,classical music,performing arts,toronto|@canadianopera| |https://www.facebook.com/CanadianOperaCompany/|tickets@coc.ca
National Ballet of Canada|Canada's premier ballet company, performing classics and contemporary works.| |Four Seasons Centre for the Performing Arts, 145 Queen St W|Dance/Ballet|All levels|Seasonal (typically Nov-Mar, plus June performances)| |Book tickets in advance|Varies per ballet (typically 2-3 hrs)|Classical and contemporary ballet productions.|Varies per show/seat ($40-$250+)|https://national.ballet.ca/|Approx 5-10 mins|https://goo.gl/maps/FourSeasonsCentre| |ballet,dance,performing arts,toronto|@nationalballet| |https://www.facebook.com/TheNationalBalletofCanada/|info@ballet.ca
Toronto Symphony Orchestra (TSO)|Major symphony orchestra presenting classical masterworks, contemporary pieces, and pops concerts.| |Roy Thomson Hall, 60 Simcoe St|Music/Orchestra|All levels|Seasonal (typically Sept-June)| |Book tickets in advance|Varies per concert (typically 2-2.5 hrs)|Symphonic concerts, guest artists, film music nights.|Varies per concert/seat ($35-$180+)|https://www.tso.ca/|Approx 5-10 mins|https://goo.gl/maps/RoyThomsonHall| |orchestra,classical music,symphony,live music,toronto|@torontosymphony| |https://www.facebook.com/TorontoSymphonyOrchestra/|patronservices@TSO.CA
Buddies in Bad Times Theatre|Leading presenter of queer theatre in Canada, dedicated to the development and presentation of LGBTQ2S artists and their work.| |12 Alexander St, Toronto|Theatre/LGBTQ+|All levels|Year-round (show schedules vary)| |Book tickets in advance|Varies per show|Plays, performance art, festivals, youth programs, cabarets with a queer focus.|Varies ($20-$50+, some PWYC)|https://buddiesinbadtimes.com/|Approx 10-15 mins|https://goo.gl/maps/BuddiesInBadTimes|Yes|lgbtq theatre,queer art,play,performance,toronto|@buddiesTO| |https://www.facebook.com/buddiesTO/|boxoffice@buddiesinbadtimes.com
The Garrison, The Horseshoe Tavern, Lee's Palace, History, Massey Hall, Budweiser Stage (various music venues)|Various iconic and newer live music venues hosting a wide range of genres and artists.| |Various locations across Toronto|Concert/Live Music|All levels|Year-round| |Book tickets in advance (Ticketmaster, venue sites)|Varies per show|Concerts (rock, indie, pop, electronic, etc.), touring and local bands.|Varies widely ($20-$200+)|(Check venue websites: historytoronto.com, masseyhall.com, livenation.com/venues/14878/budweiser-stage-toronto, horseshoetavern.com, leespalace.com, garrisontoronto.com)|Varies (many downtown or accessible by TTC)| | |live music,concert,rock,indie,pop,toronto,venue| (Venue specific handles)| | | (Venue specific contacts)
Cherry Bomb|Recurring dance party for queer women and friends. Features guest DJs and a vibrant atmosphere.| |Typically at The Garrison or other venues, check listings|Gay Party/Social|All levels|Monthly or bi-monthly (check schedule)| |Tickets at door or advance for special events|~4-5 hours (e.g., 10 PM - 3 AM)|DJ sets (various genres), dancing, social event for queer women and trans/non-binary folks.|~$15-25| (Search "Cherry Bomb Toronto" on Facebook or Instagram for current events)|Varies by venue| |Yes|lgbtq party,queer women,lesbian,dance,social,toronto|@cherrybombtoronto| |https://www.facebook.com/cherrybombtoronto/| (via social media)
Strapped|Inclusive, sex-positive QTBIPOC-centered dance party. Often features themes and performances.| |Various venues, often The Garrison or larger spaces. Check listings.|Gay Party/Social|All levels|Monthly or bi-monthly (check schedule)| |Tickets often sell out, buy in advance|~4-6 hours (e.g., 10 PM - 4 AM)|DJ sets (hip hop, R&B, dancehall, afrobeat), performances, body-positive atmosphere.|~$20-35| (Search "Strapped Toronto" on Instagram or Facebook)|Varies by venue| |Yes|qtbipoc,lgbtq party,dance,sex positive,inclusive,toronto|@strapped.to| |https://www.facebook.com/StrappedTO/| (via social media)
Drag Shows at The Drink, Crews & Tangos, Glad Day Bookshop, etc.|Various bars and venues in the Church-Wellesley Village and beyond host regular drag shows.| |Church-Wellesley Village (e.g., The Drink, Crews & Tangos) and other venues|Gay Show/Performance|All levels|Weekly/multiple times a week at many venues| |Often no cover or small cover at door; some special events ticketed|~1-3 hours per show|Drag performances by local queens (lip-sync, comedy, dance).|Free to $20+ (plus tips for performers)|(Check venue websites/social media: @thedrinktoronto, @crewsandtangos, @gladdaybookshop)|Church-Wellesley Village is central| |Yes|drag show,lgbtq performance,drag queen,nightlife,toronto| (Venue specific handles)| | | (Venue specific contacts)
Inside Out Toronto LGBT Film Festival|Annual festival showcasing films by and about LGBTQ+ people. (Note: Main festival is typically May/June, but they have year-round programming/screenings)| |TIFF Bell Lightbox and other venues|Gay Festival/Film|All levels|Main festival May/June; other screenings year-round| |Festival passes/individual tickets on sale prior to festival|Varies per film; festival spans ~11 days|Screenings of feature films, documentaries, shorts; Q&As with filmmakers; industry events.|Varies (single tickets ~$15-20, passes available)|https://insideout.ca/|TIFF Bell Lightbox is central| |Yes|lgbtq film festival,queer cinema,film,festival,toronto|@insideoutfestival| |https://www.facebook.com/InsideOutFilmFestival/|boxoffice@insideout.ca
Lavender Wild|One-day queer music and arts festival. (Inaugural event was June 2023, check for 2025 dates)| |RBC Echo Beach or similar outdoor venue|Gay Festival/Music|All levels|Typically June (check for 2025 announcement)| |Tickets on sale in advance|Full day event|Live music performances by LGBTQ+ artists and allies, art installations, community vendors.|~$80-150+|https://www.lavenderwild.com/ (check for updates)|RBC Echo Beach is on Ontario Place grounds| |Yes|lgbtq music festival,queer festival,live music,arts,toronto|@lavenderwildfest| | |hello@lavenderwild.com (from 2023)
Green Space Festival (by The 519 - Note: This IS a Pride month affiliated series of events, user asked to exclude Pride Toronto events and associated Pride Month activities. Clarify if this specific one is okay or should be omitted.)|Multi-day music and community festival during Pride month, fundraiser for The 519. (If this is too close to "Pride Month activities", I can remove it.)| |Barbara Hall Park and other venues near The 519|Gay Festival/Community|All levels|Typically late June (Pride Month)| |Some events free, some ticketed|Several days, various event times|DJ sets, live performances, community gatherings, large outdoor dance parties.|Free to $50+ (varies by event)|https://www.greenspaceto.org/ (part of The 519)|Church-Wellesley area| |Yes|lgbtq festival,pride,community,music,dance,toronto,fundraiser|@greenspaceto @the519| |https://www.facebook.com/GreenSpaceTO/| (via The 519)
Tapestry Opera|Produces contemporary opera and innovative music theatre, often with Canadian creators.| |Various venues, often smaller or site-specific|Opera/Music Theatre|All levels|Project-based, check season schedule| |Book tickets in advance|Varies per show|New opera works, experimental music theatre, workshops.|Varies ($30-$75+)|https://tapestryopera.com/|Varies| | |opera,contemporary music,music theatre,canadian,toronto|@tapestryopera| |https://www.facebook.com/tapestryopera/|info@tapestryopera.com
Factory Theatre|Hub for Canadian playwriting and theatre, developing and producing new Canadian plays.| |125 Bathurst St, Toronto|Theatre|All levels|Year-round (season schedule)| |Book tickets in advance|Varies per play|Contemporary Canadian plays, readings, development workshops.|Varies ($25-$60+)|https://www.factorytheatre.ca/|Approx 10-15 mins|https://goo.gl/maps/FactoryTheatre| |theatre,canadian plays,new works,toronto|@factorytoronto| |https://www.facebook.com/FactoryTheatre/|boxoffice@factorytheatre.ca
Tarragon Theatre|Creates, develops and produces new Canadian plays, alongside contemporary international works.| |30 Bridgman Ave, Toronto|Theatre|All levels|Year-round (season schedule)| |Book tickets in advance|Varies per play|New Canadian plays, contemporary theatre, readings.|Varies ($20-$70+)|https://www.tarragontheatre.com/|Approx 20-30 mins (near Dupont station)|https://goo.gl/maps/TarragonTheatre| |theatre,canadian plays,contemporary,toronto|@tarragontheatre| |https://www.facebook.com/TarragonTheatre/|patronservices@tarragontheatre.com
The Assembly Theatre|Independent theatre venue supporting emerging artists and new works.| |1479 Queen St West, Parkdale|Theatre|All levels|Year-round (show listings vary)| |Tickets usually via event organizers/website|Varies per show|Indie theatre, comedy, improv, experimental performances.|Varies ($15-$30+)|https://www.theassemblytheatre.com/|Approx 25-35 mins|https://goo.gl/maps/AssemblyTheatre| |indie theatre,emerging artists,parkdale,toronto|@theassemblytheatre| |https://www.facebook.com/TheAssemblyTheatreTO/|info@theassemblytheatre.com
